Frame,ID,X,Y,Area,Solidity,Ratio,VX,VY
178,19,279,73,909,0.5509,0.0000,7.0000,16.0000
178,20,344,213,616,0.5952,0.0000,0.0000,-7.0000
179,15,280,153,911,0.5730,0.0000,-1.0000,8.0000
179,17,113,133,805,0.5906,0.0000,0.0000,-7.0000
179,18,192,63,923,0.5917,0.0000,-5.0000,5.0000
179,19,280,79,914,0.6077,0.0000,1.0000,6.0000
179,20,345,210,665,0.6024,0.0000,1.0000,-3.0000
180,15,268,202,922,0.7317,0.0000,-12.0000,49.0000
180,17,111,125,811,0.5566,0.0000,-2.0000,-8.0000
180,18,184,70,924,0.5526,0.0000,-8.0000,7.0000
180,19,287,93,920,0.6259,0.0000,7.0000,14.0000
180,20,346,202,671,0.5592,0.0000,1.0000,-8.0000
181,15,256,251,922,0.7317,0.0000,-12.0000,49.0000
181,17,110,119,807,0.5539,0.0000,-1.0000,-6.0000
181,18,179,72,904,0.5381,0.0000,-5.0000,2.0000
181,19,291,100,902,0.5467,0.0000,4.0000,7.0000
181,20,345,199,701,0.5842,0.0000,-1.0000,-3.0000
182,15,244,300,922,0.7317,0.0000,-12.0000,49.0000
182,17,110,110,809,0.5673,0.0000,0.0000,-9.0000
182,18,165,79,934,0.5930,0.0000,-14.0000,7.0000
182,19,293,117,909,0.5827,0.0000,2.0000,17.0000
182,20,347,187,688,0.4778,0.0000,2.0000,-12.0000
183,15,232,349,922,0.7317,0.0000,-12.0000,49.0000
183,17,111,105,835,0.5384,0.0000,1.0000,-5.0000
183,18,158,82,940,0.5481,0.0000,-7.0000,3.0000
183,19,296,125,926,0.5396,0.0000,3.0000,8.0000
183,20,346,184,731,0.5640,0.0000,-1.0000,-3.0000
184,15,220,398,922,0.7317,0.0000,-12.0000,49.0000
184,17,128,90,1855,0.4438,0.0000,17.0000,-15.0000
184,18,128,90,1855,0.4438,0.0000,-30.0000,8.0000
184,19,295,144,880,0.6069,0.0000,-1.0000,19.0000
184,20,343,171,674,0.5311,0.0000,-3.0000,-13.0000
185,15,208,447,922,0.7317,0.0000,-12.0000,49.0000
185,17,128,89,1874,0.5032,0.0000,0.0000,-1.0000
185,18,128,89,1874,0.5032,0.0000,0.0000,-1.0000
185,19,295,153,895,0.6147,0.0000,0.0000,9.0000
185,20,341,169,743,0.5338,0.0000,-2.0000,-2.0000
186,15,196,496,922,0.7317,0.0000,-12.0000,49.0000
186,17,125,88,1858,0.5134,0.0000,-3.0000,-1.0000
186,18,125,88,1858,0.5134,0.0000,-3.0000,-1.0000
186,19,295,171,869,0.5876,0.0000,0.0000,18.0000
186,20,338,161,759,0.5101,0.0000,-3.0000,-8.0000
187,15,184,545,922,0.7317,0.0000,-12.0000,49.0000
187,17,125,85,1818,0.4896,0.0000,0.0000,-3.0000
187,18,125,85,1818,0.4896,0.0000,0.0000,-3.0000
187,19,294,181,880,0.5752,0.0000,-1.0000,10.0000
187,20,338,156,744,0.5624,0.0000,0.0000,-5.0000
188,15,172,594,922,0.7317,0.0000,-12.0000,49.0000
188,17,125,81,1850,0.4053,0.0000,0.0000,-4.0000
188,18,125,82,1818,0.4896,0.0000,0.0000,-3.0000
188,19,303,208,1387,0.4121,0.0000,9.0000,27.0000
188,20,334,143,743,0.5832,0.0000,-4.0000,-13.0000
189,15,160,643,922,0.7317,0.0000,-12.0000,49.0000
189,17,144,87,1000,0.4902,0.0000,19.0000,6.0000
189,18,102,70,809,0.6147,0.0000,-23.0000,-12.0000
189,19,321,222,500,0.7440,0.0000,18.0000,14.0000
189,20,331,138,764,0.4455,0.0000,-3.0000,-5.0000
190,15,148,692,922,0.7317,0.0000,-12.0000,49.0000
190,17,146,86,991,0.4834,0.0000,2.0000,-1.0000
190,18,101,61,822,0.5642,0.0000,-1.0000,-9.0000
190,19,320,216,663,0.5638,0.0000,-1.0000,-6.0000
190,20,330,129,782,0.4836,0.0000,-1.0000,-9.0000
190,21,286,218,686,0.6806,0.0000,-3.0000,15.0000
191,15,136,741,922,0.7317,0.0000,-12.0000,49.0000
191,17,146,85,972,0.5086,0.0000,0.0000,-1.0000
191,18,101,56,811,0.5752,0.0000,0.0000,-5.0000
191,19,320,216,686,0.6049,0.0000,0.0000,0.0000
191,20,328,123,778,0.5293,0.0000,-2.0000,-6.0000
191,21,283,222,575,0.6389,0.0000,-3.0000,4.0000
192,15,124,790,922,0.7317,0.0000,-12.0000,49.0000
192,17,146,83,982,0.5567,0.0000,0.0000,-2.0000
192,18,101,46,835,0.5552,0.0000,0.0000,-10.0000
192,19,319,209,683,0.5883,0.0000,-1.0000,-7.0000
192,20,322,113,789,0.5032,0.0000,-6.0000,-10.0000
192,21,278,228,307,0.6674,0.0000,-5.0000,6.0000
193,15,112,839,922,0.7317,0.0000,-12.0000,49.0000
193,17,147,82,1009,0.5565,0.0000,1.0000,-1.0000
193,18,101,40,803,0.5695,0.0000,0.0000,-6.0000
193,19,315,204,717,0.5379,0.0000,-4.0000,-5.0000
193,20,320,108,774,0.4513,0.0000,-2.0000,-5.0000
193,21,280,231,148,0.6607,0.0000,2.0000,3.0000
194,15,100,888,922,0.7317,0.0000,-12.0000,49.0000
194,17,149,83,993,0.5911,0.0000,2.0000,1.0000
194,18,102,31,858,0.5766,0.0000,1.0000,-9.0000
194,19,315,193,703,0.5579,0.0000,0.0000,-11.0000
194,20,318,96,741,0.5086,0.0000,-2.0000,-12.0000
194,21,282,234,148,0.6607,0.0000,2.0000,3.0000
195,15,88,937,922,0.7317,0.0000,-12.0000,49.0000
195,17,150,84,967,0.5482,0.0000,1.0000,1.0000
195,18,101,27,825,0.5578,0.0000,-1.0000,-4.0000
195,19,314,190,745,0.4908,0.0000,-1.0000,-3.0000
195,20,315,91,735,0.5154,0.0000,-3.0000,-5.0000
195,21,284,237,148,0.6607,0.0000,2.0000,3.0000
196,15,76,986,922,0.7317,0.0000,-12.0000,49.0000
196,17,154,84,941,0.5446,0.0000,4.0000,0.0000
196,18,100,19,762,0.5995,0.0000,-1.0000,-8.0000
196,19,313,177,681,0.5821,0.0000,-1.0000,-13.0000
196,20,310,80,728,0.4213,0.0000,-5.0000,-11.0000
196,21,286,240,148,0.6607,0.0000,2.0000,3.0000
197,15,64,1035,922,0.7317,0.0000,-12.0000,49.0000
197,17,156,85,926,0.5325,0.0000,2.0000,1.0000
197,18,100,17,674,0.5083,0.0000,0.0000,-2.0000
197,19,314,172,718,0.5909,0.0000,1.0000,-5.0000
197,20,311,75,686,0.4331,0.0000,1.0000,-5.0000
197,21,288,243,148,0.6607,0.0000,2.0000,3.0000
198,15,52,1084,922,0.7317,0.0000,-12.0000,49.0000
198,17,157,85,909,0.5118,0.0000,1.0000,0.0000
198,18,102,14,607,0.5951,0.0000,2.0000,-3.0000
198,19,314,164,739,0.5020,0.0000,0.0000,-8.0000
198,20,309,63,735,0.5172,0.0000,-2.0000,-12.0000
198,21,335,234,82,0.7810,0.0000,47.0000,-9.0000
199,15,40,1133,922,0.7317,0.0000,-12.0000,49.0000
199,17,158,84,906,0.5471,0.0000,1.0000,-1.0000
199,18,102,14,598,0.6040,0.0000,0.0000,0.0000
199,19,313,159,754,0.5175,0.0000,-1.0000,-5.0000
199,20,308,58,708,0.5268,0.0000,-1.0000,-5.0000
199,21,335,232,143,0.8125,0.0000,0.0000,-2.0000
200,15,28,1182,922,0.7317,0.0000,-12.0000,49.0000
200,17,159,84,916,0.5948,0.0000,1.0000,0.0000
200,18,104,14,626,0.6521,0.0000,2.0000,0.0000
200,19,313,154,732,0.5487,0.0000,0.0000,-5.0000
200,20,306,51,734,0.4539,0.0000,-2.0000,-7.0000
200,21,335,232,161,0.7892,0.0000,0.0000,0.0000
201,15,16,1231,922,0.7317,0.0000,-12.0000,49.0000
201,17,159,84,918,0.5961,0.0000,0.0000,0.0000
201,18,108,13,600,0.6349,0.0000,4.0000,-1.0000
201,19,314,140,729,0.5660,0.0000,1.0000,-14.0000
201,20,308,42,769,0.5127,0.0000,2.0000,-9.0000
201,21,341,229,246,0.7193,0.0000,6.0000,-3.0000
202,15,4,1280,922,0.7317,0.0000,-12.0000,49.0000
202,17,159,83,919,0.6078,0.0000,0.0000,-1.0000
202,18,111,12,611,0.6605,0.0000,3.0000,-1.0000
202,19,314,134,719,0.5666,0.0000,0.0000,-6.0000
202,20,309,36,781,0.5142,0.0000,1.0000,-6.0000
202,21,341,228,308,0.6111,0.0000,0.0000,-1.0000
203,15,-8,1329,922,0.7317,0.0000,-12.0000,49.0000
203,17,160,82,909,0.6134,0.0000,1.0000,-1.0000
203,18,116,12,626,0.6421,0.0000,5.0000,0.0000
